,year,Home,Visitor,HomeWin
366,19-20,New York Islanders,Philadelphia Flyers,False
367,19-20,Vancouver Canucks,Vegas Golden Knights,True
368,19-20,Colorado Avalanche,Dallas Stars,False
369,19-20,Vegas Golden Knights,Vancouver Canucks,True
370,19-20,Philadelphia Flyers,New York Islanders,False
371,19-20,Vegas Golden Knights,Dallas Stars,False
372,19-20,Tampa Bay Lightning,New York Islanders,True
373,19-20,Vegas Golden Knights,Dallas Stars,True
374,19-20,Tampa Bay Lightning,New York Islanders,True
375,19-20,Dallas Stars,Vegas Golden Knights,True
376,19-20,New York Islanders,Tampa Bay Lightning,True
377,19-20,Dallas Stars,Vegas Golden Knights,True
378,19-20,New York Islanders,Tampa Bay Lightning,False
379,19-20,Vegas Golden Knights,Dallas Stars,False
380,19-20,Tampa Bay Lightning,New York Islanders,False
381,19-20,New York Islanders,Tampa Bay Lightning,False
382,19-20,Tampa Bay Lightning,Dallas Stars,False
383,19-20,Tampa Bay Lightning,Dallas Stars,True
384,19-20,Dallas Stars,Tampa Bay Lightning,False
385,19-20,Dallas Stars,Tampa Bay Lightning,False
386,19-20,Tampa Bay Lightning,Dallas Stars,False
387,19-20,Dallas Stars,Tampa Bay Lightning,False
388,20-21,Washington Capitals,Boston Bruins,True
389,20-21,Florida Panthers,Tampa Bay Lightning,False
390,20-21,Vegas Golden Knights,Minnesota Wild,False
391,20-21,Pittsburgh Penguins,New York Islanders,False
392,20-21,Carolina Hurricanes,Nashville Predators,True
393,20-21,Washington Capitals,Boston Bruins,False
394,20-21,Colorado Avalanche,St. Louis Blues,True
395,20-21,Florida Panthers,Tampa Bay Lightning,False
396,20-21,Pittsburgh Penguins,New York Islanders,True
397,20-21,Vegas Golden Knights,Minnesota Wild,True
398,20-21,Boston Bruins,Washington Capitals,True
399,20-21,Carolina Hurricanes,Nashville Predators,True
400,20-21,Colorado Avalanche,St. Louis Blues,True
401,20-21,Edmonton Oilers,Winnipeg Jets,False
402,20-21,New York Islanders,Pittsburgh Penguins,False
403,20-21,Toronto Maple Leafs,Montreal Canadiens,False
404,20-21,Tampa Bay Lightning,Florida Panthers,False
405,20-21,Minnesota Wild,Vegas Golden Knights,False
406,20-21,Boston Bruins,Washington Capitals,True
407,20-21,Edmonton Oilers,Winnipeg Jets,False
408,20-21,Nashville Predators,Carolina Hurricanes,True
409,20-21,St. Louis Blues,Colorado Avalanche,False
410,20-21,Toronto Maple Leafs,Montreal Canadiens,True
411,20-21,New York Islanders,Pittsburgh Penguins,True
412,20-21,Minnesota Wild,Vegas Golden Knights,False
413,20-21,Tampa Bay Lightning,Florida Panthers,True
414,20-21,Nashville Predators,Carolina Hurricanes,True
415,20-21,St. Louis Blues,Colorado Avalanche,False
416,20-21,Winnipeg Jets,Edmonton Oilers,True
417,20-21,Washington Capitals,Boston Bruins,False
418,20-21,Vegas Golden Knights,Minnesota Wild,False
419,20-21,Winnipeg Jets,Edmonton Oilers,True
420,20-21,Pittsburgh Penguins,New York Islanders,False
421,20-21,Montreal Canadiens,Toronto Maple Leafs,False
422,20-21,Florida Panthers,Tampa Bay Lightning,True
423,20-21,Carolina Hurricanes,Nashville Predators,True
424,20-21,Montreal Canadiens,Toronto Maple Leafs,False
425,20-21,Minnesota Wild,Vegas Golden Knights,True
426,20-21,New York Islanders,Pittsburgh Penguins,True
427,20-21,Tampa Bay Lightning,Florida Panthers,True
428,20-21,Nashville Predators,Carolina Hurricanes,False
429,20-21,Toronto Maple Leafs,Montreal Canadiens,False
430,20-21,Vegas Golden Knights,Minnesota Wild,True
431,20-21,Montreal Canadiens,Toronto Maple Leafs,True
432,20-21,Boston Bruins,New York Islanders,True
433,20-21,Colorado Avalanche,Vegas Golden Knights,True
434,20-21,Carolina Hurricanes,Tampa Bay Lightning,False
435,20-21,Boston Bruins,New York Islanders,False
436,20-21,Toronto Maple Leafs,Montreal Canadiens,False
437,20-21,Carolina Hurricanes,Tampa Bay Lightning,False
438,20-21,Colorado Avalanche,Vegas Golden Knights,True
439,20-21,Winnipeg Jets,Montreal Canadiens,False
440,20-21,New York Islanders,Boston Bruins,False
441,20-21,Tampa Bay Lightning,Carolina Hurricanes,False
442,20-21,Vegas Golden Knights,Colorado Avalanche,True
443,20-21,Winnipeg Jets,Montreal Canadiens,False
444,20-21,New York Islanders,Boston Bruins,True
445,20-21,Tampa Bay Lightning,Carolina Hurricanes,True
446,20-21,Montreal Canadiens,Winnipeg Jets,True
447,20-21,Vegas Golden Knights,Colorado Avalanche,True
448,20-21,Boston Bruins,New York Islanders,False
449,20-21,Montreal Canadiens,Winnipeg Jets,True
450,20-21,Colorado Avalanche,Vegas Golden Knights,False
451,20-21,Carolina Hurricanes,Tampa Bay Lightning,False
452,20-21,New York Islanders,Boston Bruins,True
453,20-21,Vegas Golden Knights,Colorado Avalanche,True
454,20-21,Tampa Bay Lightning,New York Islanders,False
455,20-21,Vegas Golden Knights,Montreal Canadiens,True
456,20-21,Tampa Bay Lightning,New York Islanders,True
457,20-21,Vegas Golden Knights,Montreal Canadiens,False
458,20-21,New York Islanders,Tampa Bay Lightning,False
459,20-21,Montreal Canadiens,Vegas Golden Knights,True
460,20-21,New York Islanders,Tampa Bay Lightning,True
461,20-21,Montreal Canadiens,Vegas Golden Knights,False
462,20-21,Tampa Bay Lightning,New York Islanders,True
463,20-21,Vegas Golden Knights,Montreal Canadiens,False
464,20-21,New York Islanders,Tampa Bay Lightning,True
465,20-21,Montreal Canadiens,Vegas Golden Knights,True
466,20-21,Tampa Bay Lightning,New York Islanders,True
467,20-21,Tampa Bay Lightning,Montreal Canadiens,True
468,20-21,Tampa Bay Lightning,Montreal Canadiens,True
469,20-21,Montreal Canadiens,Tampa Bay Lightning,False
470,20-21,Montreal Canadiens,Tampa Bay Lightning,True
471,20-21,Tampa Bay Lightning,Montreal Canadiens,True
472,21-22,Edmonton Oilers,Los Angeles Kings,False
473,21-22,Carolina Hurricanes,Boston Bruins,True
474,21-22,Toronto Maple Leafs,Tampa Bay Lightning,True
475,21-22,Minnesota Wild,St. Louis Blues,False
476,21-22,Calgary Flames,Dallas Stars,True
477,21-22,Colorado Avalanche,Nashville Predators,True
478,21-22,Florida Panthers,Washington Capitals,False
479,21-22,New York Rangers,Pittsburgh Penguins,False
480,21-22,Carolina Hurricanes,Boston Bruins,True
481,21-22,Edmonton Oilers,Los Angeles Kings,True
482,21-22,Minnesota Wild,St. Louis Blues,True
483,21-22,Toronto Maple Leafs,Tampa Bay Lightning,False
484,21-22,Florida Panthers,Washington Capitals,True
485,21-22,New York Rangers,Pittsburgh Penguins,True
486,21-22,Colorado Avalanche,Nashville Predators,True
487,21-22,Calgary Flames,Dallas Stars,False
488,21-22,Boston Bruins,Carolina Hurricanes,True
489,21-22,Los Angeles Kings,Edmonton Oilers,False
490,21-22,St. Louis Blues,Minnesota Wild,False
491,21-22,Tampa Bay Lightning,Toronto Maple Leafs,False
492,21-22,Dallas Stars,Calgary Flames,True
493,21-22,Nashville Predators,Colorado Avalanche,False
494,21-22,Pittsburgh Penguins,New York Rangers,True
495,21-22,Washington Capitals,Florida Panthers,True
496,21-22,Boston Bruins,Carolina Hurricanes,True
497,21-22,Tampa Bay Lightning,Toronto Maple Leafs,True
498,21-22,Los Angeles Kings,Edmonton Oilers,True
499,21-22,St. Louis Blues,Minnesota Wild,True
500,21-22,Dallas Stars,Calgary Flames,False
501,21-22,Nashville Predators,Colorado Avalanche,False
502,21-22,Pittsburgh Penguins,New York Rangers,True
503,21-22,Washington Capitals,Florida Panthers,False
504,21-22,Toronto Maple Leafs,Tampa Bay Lightning,True
505,21-22,Minnesota Wild,St. Louis Blues,False
506,21-22,Edmonton Oilers,Los Angeles Kings,False
507,21-22,Carolina Hurricanes,Boston Bruins,True
508,21-22,Calgary Flames,Dallas Stars,True
509,21-22,Florida Panthers,Washington Capitals,True
